sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV)
7,12017,LD2,1785,750,7.93117956369458,0.00048769449902956376
7,12019,LD2,1785,750,7.931130451280787,0.0005111801718805777
7,12021,LD2,1785,750,7.930735328571428,0.0005708764835120469
7,12029,LD2,1785,750,7.930836616748768,0.0007591035965608068
7,12030,LD2,1785,750,7.930792000541871,0.0006473675868283484
7,12038,LD2,1785,750,7.9307214446798024,0.00039712798560743626
7,12039,LD2,1785,750,7.930700425641025,0.00012101694756836148
7,12040,LD2,1785,750,7.930749781739129,0.00031467682728988575
7,12041,LD2,1785,750,7.930698678333333,0.0004144008078302761
7,12042,LD2,1785,750,7.9306826093103435,0.0003539962492803082
7,12043,LD2,1785,750,7.930815127692307,0.00021995081055648357
7,12044,LD2,1785,750,7.930617339432989,0.00034797947928378166
7,12045,LD2,1785,750,7.930592339310344,0.00040309413172377436
7,12046,LD2,1785,750,7.930381066995073,0.0004376311382029637
7,12047,LD2,1785,750,7.9308801459605895,0.000380600884409456
7,12048,LD2,1785,750,7.930782041953124,0.00041289577720195246
7,12050,LD2,1785,750,7.930535886735751,0.0004149097265557837
7,12051,LD2,1785,750,7.930668181921182,0.00025256633483277915
7,12055,LD2,1785,750,7.930260554166666,0.0002381922601148587
7,12056,LD2,1785,750,7.930811022955663,0.0005112947621976005
7,12057,LD2,1785,750,7.930813839261083,0.0005233809557308095
7,12059,LD2,1785,750,7.930859097783251,0.00044494791367807174
7,12060,LD2,1785,750,7.930650789999999,0.0005726440505780228
7,12062,LD2,1785,750,7.931079823249999,0.00036286825580665615
7,12063,LD2,1785,750,7.930977827290639,0.0004992977369826318
7,12065,LD2,1785,750,7.930936202499999,0.0005577819677424856
7,12066,LD2,1785,750,7.930732808719211,0.0006312519128624949
7,12068,LD2,1785,750,7.931267193679999,0.0002103737170186037
7,12069,LD2,1785,750,7.93114409029197,0.0006017277439892267
7,12070,LD2,1785,750,7.931074088617884,0.0004889669636874091
7,12071,LD2,1785,750,7.931032028817734,0.0005198527456761593
7,12073,LD2,1785,750,7.931036623842363,0.0005241567816186247
11,12314,LD2,2100,750,9.88870426393899,0.00031620780471778534
11,12315,LD2,2100,750,9.888707548625304,0.00039333231827356417
11,12316,LD2,2100,750,9.888890351034481,0.00031633012393846716
11,12318,LD2,2100,750,9.88921937818701,0.00010785167847851468
