runnum,evnum,HALLA_p
13239,34723,5965.05
13239,47671,5965.16
13239,60671,5965.16
13239,73699,5965.29
13239,86625,5965.29
13239,99800,5965.39
13239,112774,5965.39
13239,125951,5965.25
13239,139139,5965.25
13239,152295,5965.25
13239,165491,5964.85
13239,178406,5964.85
13239,191214,5965.17
13239,204533,5965.17
13239,217569,5965.1
13239,230521,5965.1
13239,243449,5965.33
13239,256634,5965.33
13239,270090,5965.33
13239,283374,5965.19
13239,296521,5965.19
13239,309756,5965.33
13239,322944,5965.33
13239,335924,5965.22
13239,348998,5965.22
13239,361964,5965.22
13239,374893,5965.22
13239,388267,5965.22
13239,401652,5965.49
13239,414837,5965.49
13239,428056,5965.21
13239,441101,5965.21
13239,454130,5965.22
13239,467183,5965.22
13239,480319,5965.22
13239,493668,5965.18
13239,506732,5965.18
13239,520184,5965.2
13239,533481,5965.2
13239,546523,5965.34
13239,559867,5965.34
13239,572913,5965.23
13239,585600,5965.23
13239,599025,5965.23
13239,612190,5965.17
13239,625246,5965.17
13239,638473,5965.14
13239,651891,5965.14
13239,665215,5965.32
13239,678376,5965.32
13239,691559,5965.33
13239,704616,5965.33
13239,717982,5965.33
13239,731374,5965.24
13239,744630,5965.24
13239,757882,5965.42
13239,771185,5965.42
13239,784493,5965.18
13239,797566,5965.18
13239,811132,5965.17
13239,824312,5965.17
13239,837555,5965.17
13239,850866,5965.29
13239,855702,5965.29
13239,855919,5965.24
13239,856158,5965.24
13239,860151,5965.54
13239,872563,5965.54
13239,885578,5965.17
13239,898546,5965.17
13239,911855,5965.17
13239,925359,5965.18
13239,938749,5965.18
13239,952040,5965.17
13239,965606,5965.17
13239,978774,5965.28
13239,991973,5965.28
13239,1005436,5965.3
13239,1018738,5965.3
13239,1031780,5965.3
13239,1044975,5965.25
13239,1058288,5965.25
13239,1071716,5965.23
13239,1085292,5965.23
13239,1098870,5965.21
13239,1112060,5965.21
13239,1125351,5965.18
13239,1138677,5965.18
13239,1151657,5965.18
13239,1164789,5965.18
13239,1178090,5965.18
13239,1191536,5965.15
13239,1204682,5965.15
13239,1218041,5965.17
13239,1231197,5965.17
13239,1244559,5965.05
13239,1257825,5965.05
13239,1271392,5965.05
13239,1284705,5965.15
13239,1297809,5965.15
13239,1311394,5965.19
13239,1324510,5965.19
13239,1337963,5965.21
13239,1351019,5965.21
13239,1364474,5965.19
13239,1377650,5965.19
13239,1391231,5965.19
13239,1404537,5965.28
13239,1413637,5965.28
13240,4830,5965.1
13240,6577,5965.1
13240,8384,5965.1
13240,10197,5965.02
13240,11951,5965.02
13240,13751,5965.02
13240,15434,5965.16
13240,17249,5965.16
13240,18872,5964.98
13240,20694,5964.98
13240,22437,5965.13
13240,24126,5965.13
13240,25948,5965.13
13240,27749,5965.22
13240,29538,5965.22
13240,31146,5964.97
13240,32940,5964.97
13240,34620,5965.07
13240,36412,5965.07
13240,38264,5965.28
13240,39990,5965.28
13240,41785,5965.28
13240,43459,5965.05
13240,45250,5965.05
13240,46916,5965.01
13240,48702,5965.01
13240,50366,5965.02
13240,52161,5965.02
13240,53947,5965.16
13240,55743,5965.16
13240,57539,5965.16
13240,59333,5965.04
13240,61144,5965.04
13240,62760,5965.06
13240,64445,5965.06
13240,66265,5965.07
13240,67886,5965.07
13240,69571,5965.07
13240,71389,5965.05
13240,73008,5965.05
13240,74755,5965.03
13240,76380,5965.03
13240,78142,5964.97
13240,79825,5964.97
13240,81507,5965.09
13240,83125,5965.09
13240,84814,5965.09
13240,86503,5964.98
13240,88119,5964.98
13240,89805,5965.09
13240,91434,5965.09
13240,93115,5964.93
13240,94806,5964.93
13240,96428,5965.12
13240,98117,5965.12
13240,99794,5965.12
13240,101455,5965.16
13240,103255,5965.16
13240,104925,5964.98
13240,106592,5964.98
13240,108388,5964.97
13240,110051,5964.97
13240,111714,5964.97
13240,113446,5965.21
13240,115123,5965.21
13240,116801,5964.96
13240,118598,5964.96
13240,120265,5965.21
13240,121926,5965.21
13240,123740,5965.07
13240,125415,5965.07
13240,127151,5965.07
13240,128942,5965.08
13240,130604,5965.08
13240,132407,5965.02
13240,134068,5965.02
13240,135738,5965
13240,137542,5965
13240,139218,5965.15
13240,140844,5965.15
13240,142526,5965.15
13240,144340,5964.94
13240,145832,5964.94
13240,147520,5965.06
13240,149211,5965.06
13240,150839,5965.13
13240,152511,5965.13
13240,154310,5965.13
13240,155978,5965.11
13240,157644,5965.11
13240,159314,5965.09
13240,160989,5965.09
13240,162781,5965.07
13240,164394,5965.07
13240,166194,5965.1
13240,167868,5965.1
13240,169533,5965.1
13240,171318,5965.04
13240,172993,5965.04
13240,174659,5965.01
13240,176328,5965.01
13240,178118,5964.91
13240,179784,5964.91
13240,181457,5965
13240,183129,5965
13240,184796,5965
13240,186408,5965.12
13240,188077,5965.12
13240,189750,5965.09
13240,191418,5965.09
13240,193212,5965.07
13240,194891,5965.07
13240,196547,5965.07
13240,198210,5965.04
13240,199870,5965.04
13240,201670,5965.06
13240,203336,5965.06
13240,204880,5965.09
13240,206672,5965.09
13240,208342,5965.07
13240,210002,5965.07
13240,211802,5965.07
13240,213472,5964.98
13240,215138,5964.98
13240,216934,5965.1
13240,218539,5965.1
13240,220216,5965.03
13240,221891,5965.03
13240,223576,5965.03
13240,225198,5965.06
13240,226872,5965.06
13240,228553,5965.05
13240,230238,5965.05
13240,231859,5965.01
13240,233546,5965.01
13240,235231,5965.1
13240,236858,5965.1
13240,238548,5965.1
13240,240044,5965.11
13240,241729,5965.11
13240,243416,5965.15
13240,244911,5965.15
13240,246601,5965.13
13240,248278,5965.13
13240,249937,5965.21
13240,251612,5965.21
13240,253286,5965.21
13240,255017,5965.15
13240,256688,5965.15
13240,258229,5965.01
13240,259894,5965.01
13240,261701,5965.17
13240,263503,5965.17
13240,265167,5965.17
13240,266832,5965.11
13240,268498,5965.11
13240,270300,5964.98
13240,271965,5964.98
13240,273632,5964.98
13240,275301,5964.98
13240,277092,5964.97
13240,278701,5964.97
13240,280496,5964.97
13240,282170,5965.06
13240,283839,5965.06
13240,285508,5965.14
13240,287302,5965.14
13240,288966,5965.09
13240,290634,5965.09
13240,292300,5964.97
13240,293975,5964.97
13240,295646,5964.97
13240,297438,5965.02
13240,299108,5965.02
13240,300846,5965.08
13240,302383,5965.08
13240,304178,5965.03
13240,305847,5965.03
13240,307645,5965
13240,309315,5965
13240,310987,5965
13240,312524,5965.05
13240,314207,5965.05
13240,315874,5965.15
13240,317671,5965.15
13240,319280,5964.97
13240,320959,5964.97
13240,322623,5964.97
13240,324295,5965
13240,325965,5965
13240,327648,5964.98
13240,329312,5964.98
13240,330925,5965.03
13240,332595,5965.03
13240,334271,5964.98
13240,335946,5964.98
13240,337638,5964.98
13240,339260,5964.99
13240,340809,5964.99
13240,342499,5964.96
13240,343998,5964.96
13240,345680,5965.02
13240,346173,5965.02
13240,346299,5965.02
13240,346524,5965.02
13240,346749,5965.02
13240,346988,5965.54
13240,347230,5965.54
13240,347506,5965.54
13240,348588,5965.54
13240,349062,5965.54
13240,349291,5965.54
13240,349525,5965.54
13240,349759,5965.54
13240,350358,5965.54
13240,351890,5965.54
13240,353538,5965.54
13240,355062,5965
13240,356723,5965
13240,358371,5965
13240,360094,5965.04
13240,361704,5965.04
13240,363383,5965
13240,365069,5965
13240,366751,5965.02
13240,368377,5965.02
13240,369941,5964.98
13240,371574,5964.98
13240,373143,5964.98
13240,374772,5964.95
13240,376333,5964.95
13240,377956,5964.96
13240,379625,5964.96
13240,381290,5965.09
13240,383079,5965.09
13240,384751,5965.06
13240,386425,5965.06
13240,388225,5965.06
13240,389126,5964.99
13240,389362,5964.99
13240,389589,5964.89
13240,389833,5964.89
13240,389943,5965.54
13241,28355,5964.77
13241,39504,5964.77
