runnum,evnum,HALLA_p
12313,293,9859.66
12313,466,9859.66
12313,625,9859.66
12313,795,9859.66
12313,945,9859.66
12313,1107,9859.66
12313,1269,9859.66
12313,1454,9859.66
12313,1596,9859.66
12313,1760,9859.66
12313,1926,9859.66
12313,2072,9859.66
12313,6330,9859.66
12313,26704,9858.76
12313,52427,9858.76
12313,6231583,9859.05
12313,6256914,9859.05
12313,6282781,9859.15
12313,6307473,9859.15
12313,6333493,9859.5
12313,6359042,9859.5
12313,6384645,9859.02
12313,6410504,9859.02
12313,6436312,9859.02
12313,6462238,9858.96
12313,6487953,9858.96
12313,6513587,9859.08
12313,6539410,9859.08
12313,6565264,9859.15
12313,6590855,9859.15
12313,6616725,9859.15
12313,6642574,9859.15
12313,6668566,9859.15
12313,6694525,9859.1
12313,6720377,9859.1
12313,6746254,9859.1
12313,6772211,9859.15
12313,6798172,9859.15
12313,6823695,9859.17
12313,643054,9858.96
12313,668999,9858.96
12313,6849314,9859.17
12313,6875020,9859.21
12313,6900116,9859.21
12313,6925754,9859.21
12313,6951579,9859.04
12313,6977414,9859.04
12313,7003291,9859.04
12313,7029007,9859.04
12313,7054734,9859.04
12313,7080594,9859.12
12313,7106562,9859.12
12313,7132577,9859.16
12313,7158561,9859.16
12313,7173210,9859.01
12313,7173338,9859.01
12313,7173544,9859.66
12313,7173830,9859.66
12313,7180864,9859.66
12313,7205190,9859.66
12313,7230861,9859.66
12313,7256651,9859.05
12313,7282527,9859.05
12313,7308359,9859.03
12313,7334296,9859.03
12313,7360071,9859.03
12313,7385799,9859.02
12313,7411781,9859.02
12313,7437650,9859
12313,7463497,9859
12313,694594,9859.4
12313,720057,9859.4
12313,745794,9859.01
12313,7489494,9860.01
12313,7515195,9860.01
12313,7540692,9860.01
12313,7566405,9859.8
12313,7592209,9859.8
12313,7618185,9859.13
12313,7643548,9859.13
12313,7669410,9859.12
12313,7695047,9859.12
12313,7720899,9859.04
12313,7746657,9859.04
12313,7772490,9859.04
12313,7798397,9859.17
12313,7824133,9859.17
12313,7849946,9859.57
12313,7875771,9859.57
12313,7901775,9859.05
12313,7927646,9859.05
12313,7953350,9858.79
12313,7979051,9858.79
12313,7998754,9858.79
12313,7998871,9859.17
12313,7999032,9859.17
12313,7999745,9859.66
12313,8010864,9859.66
12313,8036594,9859.66
12313,8062086,9858.87
12313,8087555,9858.87
12313,771478,9859.01
12313,797105,9859.14
12313,8113440,9859.4
12313,8139401,9859.4
12313,8165422,9859.4
12313,8191375,9859.16
12313,8217215,9859.16
12313,8243068,9859.04
12313,8268913,9859.04
12313,8294638,9859.06
12313,8320301,9859.06
12313,8345851,9859.06
12313,8371586,9858.99
12313,8397320,9858.99
12313,8423238,9858.98
12313,8449154,9858.98
12313,8474997,9858.91
12313,8500720,9858.91
12313,8526540,9859.57
12313,8552443,9859.57
12313,8578287,9859.57
12313,8604157,9858.95
12313,8630233,9858.95
12313,8656103,9859.06
12313,8682119,9859.06
12313,8708142,9859.05
12313,823009,9859.14
12313,848930,9859
12313,8734347,9859.05
12313,8760171,9859.05
12313,8786184,9859.01
12313,8811910,9859.01
12313,8837748,9859.13
12313,8863504,9859.13
12313,8889347,9858.75
12313,8915207,9858.75
12313,8940946,9859.1
12313,8966775,9859.1
12313,8992648,9859.1
12313,9018617,9859.07
12313,9044480,9859.07
12313,9070326,9858.94
12313,9095933,9858.94
12313,9121652,9859.05
12313,9147546,9859.05
12313,9173370,9858.88
12313,9199347,9858.88
12313,9225228,9858.88
12313,9251209,9859.17
12313,9277166,9859.17
12313,9302956,9859
12313,9328853,9859
12313,874705,9859
12313,900479,9859
12313,926309,9859.03
12313,9354749,9859
12313,9380516,9859
12313,9405573,9858.98
12313,9431554,9858.98
12313,9457322,9858.98
12313,9483073,9858.96
12313,9508810,9858.96
12313,9534482,9858.98
12313,9560205,9858.98
12313,9585872,9858.97
12313,9611776,9858.97
12313,9637487,9858.97
12313,9663351,9859.12
12313,9689078,9859.12
12313,9715154,9858.97
12313,9740537,9858.97
12313,9766401,9858.99
12313,9792139,9858.99
12313,9817844,9858.99
12313,9843782,9859
12313,9869801,9859
12313,9895687,9859.07
12313,9921496,9859.07
12313,9947656,9858.95
12313,952020,9859.03
12313,977861,9858.88
12313,9973377,9858.95
12313,9999201,9858.92
12313,10025084,9858.92
12313,10050900,9858.92
12313,10076296,9859.02
12313,10101793,9859.02
12313,10119001,9858.95
12313,10119001,9858.95
12313,1003611,9858.88
12313,1029460,9859.1
12313,1055288,9859.1
12313,1080893,9858.98
12313,1106914,9858.98
12313,1132862,9858.98
12313,1158694,9859.45
12313,1184492,9859.45
12313,1210338,9858.96
12313,1236176,9858.96
12313,78027,9858.76
12313,103427,9859.1
12313,1261967,9859.46
12313,1287737,9859.46
12313,1313324,9859.46
12313,1339076,9859.01
12313,1364848,9859.01
12313,1390787,9858.96
12313,1416685,9858.96
12313,1442495,9858.78
12313,1468351,9858.78
12313,1494257,9859
12313,1520058,9859
12313,1546056,9859
12313,1571914,9858.98
12313,1597840,9858.98
12313,1623811,9858.82
12313,1649825,9858.82
12313,1675731,9858.98
12313,1701583,9858.98
12313,1727295,9858.98
12313,1753044,9859.41
12313,1778904,9859.41
12313,1804919,9859.32
12313,1831236,9859.32
12313,1857355,9858.89
12313,128818,9859.1
12313,153889,9859.09
12313,179448,9859.09
12313,1882962,9858.89
12313,1908753,9859.03
12313,1934588,9859.03
12313,1960257,9859.03
12313,1984568,9859.09
12313,2009120,9859.09
12313,2035004,9859.1
12313,2060862,9859.1
12313,2086855,9859.4
12313,2112657,9859.4
12313,2138543,9858.89
12313,2164549,9858.89
12313,2190474,9858.89
12313,2216181,9859.09
12313,2241937,9859.09
12313,2267857,9858.96
12313,2293524,9858.96
12313,2319306,9859.02
12313,2344125,9859.02
12313,2369874,9859
12313,2395336,9859
12313,2421056,9859
12313,2446572,9858.92
12313,2472513,9858.92
12313,205373,9859.09
12313,231214,9859
12313,2497933,9859.09
12313,2501610,9859.09
12313,2501792,9859.14
12313,2501962,9859.14
12313,2502126,9859.66
