runnum,evnum,HALLA_p
11436,63373,3728.21
11436,116184,3728.13
11436,170027,3728.18
11436,224502,3728.22
11436,278493,3728.17
11436,333314,3728.1
11436,336531,3728.1
11436,377480,3727.81
11436,394404,3728.01
11436,409343,3727.81
11436,462884,3727.98
11436,517038,3728.19
11436,571244,3728.25
11436,625744,3728.11
11436,679951,3728.2
11436,734220,3728.19
11436,788759,3728.16
11436,843031,3728.19
11436,34145,3728.16
11436,88411,3728.13
11436,142501,3728.25
11436,196892,3728.16
11436,251841,3728.08
11436,306904,3728.2
11436,361978,3728.15
11436,418245,3728.15
11436,473547,3728.23
11436,528410,3728.14
11436,583632,3728.19
11436,638797,3728.18
11436,694459,3728.19
11436,748893,3728.2
11436,802637,3728.2
11436,857375,3728.21
11436,52865,3728.14
11436,106629,3728.27
11436,160655,3728.15
11436,214932,3728.22
11436,254119,3728.1
11436,257776,3727.81
11436,264652,3727.81
11436,281970,3728.07
11436,282004,3727.81
11436,282019,3727.81
11436,282030,3727.81
11436,293136,3727.81
11436,316544,3728.13
11436,339856,3728.21
11436,363136,3728.16
11436,386582,3728.2
11436,410751,3728.19
11436,435107,3728.22
11436,458946,3728.43
11436,482777,3728.14
11436,506238,3728.22
11436,529925,3728.23
11436,553759,3728.19
11436,577917,3728.24
11436,601339,3728.24
11436,625682,3728.13
11436,649857,3728.14
11436,673298,3728.17
11436,696877,3728.21
11436,720403,3728.17
11436,744312,3728.22
11436,768385,3728.25
11436,792589,3728.22
11436,816537,3728.17
11436,839821,3728.23
11436,862629,3728.22
11436,886051,3728.21
11436,909820,3728.15
11436,933374,3728.14
11436,975750,3728.18
11436,36694,3728.16
11436,89457,3728.12
11436,142806,3728.19
11436,197289,3728.18
11436,251483,3728.21
11436,305130,3728.19
11436,358474,3728.16
11436,412137,3728.13
11436,466012,3728.17
11436,520933,3728.23
11436,574778,3728.21
11436,629051,3728.12
11436,682971,3728.16
11436,737379,3728.13
11436,791896,3728.17
11436,847072,3728.23
11436,41356,3728.07
11436,96274,3728.12
11436,150473,3728.19
11436,204858,3728.17
11436,258962,3728.21
11436,313104,3728.11
11436,366867,3728.12
11436,420859,3728.19
11436,475543,3728.18
11436,529336,3728.16
11436,584923,3728.13
11436,639748,3728.14
11436,693864,3728.2
11436,712175,3728.36
11436,732991,3728.48
11436,733027,3727.81
11436,733032,3727.81
11436,733050,3727.81
11436,733059,3727.81
11436,734162,3727.81
11436,741862,3728.27
11436,758995,3727.81
11436,782547,3728.12
11436,812659,3728.14
11436,855527,3728.19
11436,32223,3728.21
11436,86029,3728.22
11436,140418,3728.17
11436,194984,3728.11
11436,249864,3728.16
11436,269396,3728.27
11436,269402,3727.81
11436,269409,3727.81
11436,269417,3727.81
11436,269428,3727.81
11436,269433,3727.81
11436,269445,3727.81
11436,269451,3727.81
11436,269455,3727.81
11436,269461,3727.81
11436,269476,3727.81
11436,269489,3727.81
11436,269499,3727.81
11436,271786,3727.81
11436,272262,3727.81
11436,293749,3727.81
11436,317549,3728.11
11436,360838,3728.21
11436,413207,3728.31
11436,467595,3728.17
11436,521743,3728.26
11436,576131,3728.12
11436,631038,3728.24
11436,685304,3728.17
11436,739469,3728.24
11436,793703,3728.17
11436,847500,3728.1
11436,38188,3728.22
11436,92171,3728.16
11436,147216,3728.17
11436,202114,3728.2
11436,255900,3728.22
11436,310537,3728.23
11436,313049,3728.22
11436,313075,3727.81
11500,78164,3728.16
11500,217643,3728.31
11500,288738,3728.22
11500,312038,3728.29
11500,319886,3727.81
11500,390667,3728.06
11500,462723,3728.22
11500,535026,3728.29
11500,607456,3728.34
11500,680433,3728.17
11500,753030,3728.24
11500,825452,3728.23
11500,898152,3728.29
11500,12454,3728.24
11500,67329,3728.21
11500,67676,3728.29
11500,68091,3727.81
11500,68420,3727.81
11500,68866,3727.81
11500,69231,3727.81
11500,69537,3727.81
11500,132511,3728.19
11500,203771,3728.27
11500,276215,3728.28
11500,348425,3728.21
11500,421125,3728.28
11500,494079,3728.29
11500,567094,3728.22
11500,639393,3728.29
11500,711305,3728.26
11500,783109,3728.22
11500,854742,3728.27
11500,926583,3728.24
11500,40737,3728.25
11500,112858,3728.25
11500,183899,3728.23
11500,254952,3728.22
11500,326518,3728.25
11500,398584,3728.26
11500,471037,3728.24
11500,543869,3728.21
11500,616045,3728.28
11500,687420,3728.23
11500,759304,3728.18
11500,830684,3728.23
11500,902348,3728.31
11500,14142,3728.3
11500,86767,3728.22
11500,158928,3728.26
11500,230864,3728.21
11500,302493,3728.26
11500,372964,3728.2
11500,444593,3728.28
11500,516849,3728.22
11500,590206,3728.27
11500,663135,3728.21
11500,736090,3728.25
11500,809010,3728.26
11500,881777,3728.29
11500,955257,3728.28
11500,71834,3728.24
11500,144720,3728.29
11500,217766,3728.29
11500,289948,3728.2
11500,362266,3728.28
11500,435081,3728.28
11500,508317,3728.19
11500,581553,3728.24
11500,654563,3728.29
11500,727440,3728.23
11500,799500,3728.31
11500,871854,3728.24
11500,943914,3728.27
11500,59701,3728.28
11500,132144,3728.25
11500,205257,3728.24
11500,278195,3728.25
11500,351497,3728.26
11500,424846,3728.26
11500,497608,3728.23
11500,569386,3728.29
11500,641594,3728.27
11500,714671,3728.25
11500,787244,3728.28
11500,860195,3728.25
11500,933411,3728.22
11500,52215,3728.25
11500,125227,3728.26
11500,152479,3728.31
11500,152874,3727.81
11500,153181,3727.81
11500,153592,3727.81
11547,336,3727.81
11547,681,3727.81
11547,1100,3727.81
11547,1431,3727.81
11547,1887,3727.81
11547,10936,3727.81
11547,70956,3728.18
11547,142264,3728.12
11547,214909,3728.09
11547,287937,3728.09
11547,360544,3728.22
11547,433836,3728.16
11547,507718,3728.16
11547,581456,3728.21
11547,654881,3728.17
11547,728609,3728.13
11547,802605,3728.13
11547,875954,3728.13
11547,5164,3728.18
11547,78644,3728.12
11547,152215,3728.14
11547,225560,3728.09
11547,299447,3728.13
11547,373399,3728.09
11547,446436,3728.23
11547,519458,3728.12
11547,592534,3728.21
11547,665629,3728.18
11547,738609,3728.1
11547,811777,3728.21
11547,883729,3728.11
11547,14681,3728.22
11547,88517,3728.13
11547,161744,3728.23
11547,234806,3728.12
11547,308543,3728.22
11547,381965,3728.06
11547,455311,3728.21
11547,528564,3728.13
11547,602579,3728.09
11547,676279,3728.15
11547,749362,3728.15
11547,822710,3728.16
11547,895304,3728.13
11547,28388,3728.13
11547,101871,3728.32
