runnum,evnum,HALLA_p
13656,46675,4014.83
13656,67742,4014.81
13656,88778,4014.81
13656,109926,4014.83
13656,130899,4014.83
13656,152182,4014.83
13656,173580,4014.79
13656,194768,4014.79
13656,10413804,4014.91
13656,10434310,4014.91
13656,10455044,4014.91
13656,10475533,4014.8
13656,10496531,4014.8
13656,10517449,4014.86
13656,10538389,4014.86
13656,10559240,4014.79
13656,10579885,4014.79
13656,10600898,4014.84
13656,10621577,4014.84
13656,10642608,4014.84
13656,10663595,4014.82
13656,10684309,4014.82
13656,10705188,4014.83
13656,1042773,4014.86
13656,1063765,4014.86
13656,1084431,4014.92
13656,1105183,4014.92
13656,1126042,4014.81
13656,1146544,4014.81
13656,1167425,4014.81
13656,1176669,4014.89
13656,1176979,4014.89
13656,1177274,4014.53
13656,1183708,4014.53
13656,1203804,4014.53
13656,1224018,4014.53
13656,1244736,4014.53
13656,2084700,4014.83
13656,2105409,4014.87
13656,2126274,4014.87
13656,2147769,4014.87
13656,2168772,4014.85
13656,2189896,4014.85
13656,2211275,4014.74
13656,2232132,4014.74
13656,2253389,4014.79
13656,2274379,4014.79
13656,3129287,4014.81
13656,3150048,4014.77
13656,3170615,4014.77
13656,3191268,4014.76
13656,3212195,4014.76
13656,3232706,4014.76
13656,3253491,4014.8
13656,3274699,4014.8
13656,3295552,4014.81
13656,3316670,4014.81
13656,4171349,4014.79
13656,4192022,4014.81
13656,4212619,4014.81
13656,4233212,4014.94
13656,4254003,4014.94
13656,4274926,4014.83
13656,4296027,4014.83
13656,4316781,4014.83
13656,4338042,4014.85
13656,4359033,4014.85
13656,5215400,4014.71
13656,5235782,4014.71
13656,5256064,4014.87
13656,5276895,4014.87
13656,5297651,4014.81
13656,5318253,4014.81
13656,5339249,4014.81
13656,5360388,4014.85
13656,5381353,4014.85
13656,5391303,4014.83
13656,5391612,4014.83
13656,5391901,4014.53
13656,5396136,4014.53
13656,5415922,4014.53
13656,5436352,4014.53
13656,5457094,4014.53
13656,5477972,4014.88
13656,5499067,4014.88
13656,6246597,4014.85
13656,6267690,4014.8
13656,6288964,4014.8
13656,6309989,4014.8
13656,6331418,4014.81
13656,6352468,4014.81
13656,6373954,4014.78
13656,6394561,4014.78
13656,6415807,4014.78
13656,6436354,4014.78
13656,6457207,4014.82
13656,6478035,4014.82
13656,6498491,4014.82
13656,6519093,4014.77
13656,6539598,4014.77
13656,7286501,4014.82
13656,7307601,4014.83
13656,7328702,4014.83
13656,7349838,4014.83
13656,7370854,4014.86
13656,7392070,4014.86
13656,7413073,4014.87
13656,7433943,4014.87
13656,7454642,4014.85
13656,7475418,4014.85
13656,7496253,4014.81
13656,7516914,4014.81
13656,7537991,4014.81
13656,7558783,4014.9
13656,7579733,4014.9
13656,8332751,4014.76
13656,8353578,4014.79
13656,8374233,4014.79
13656,8394961,4014.79
13656,8415703,4014.8
13656,8436283,4014.8
13656,8457901,4014.84
13656,8479252,4014.84
13656,8500538,4014.81
13656,8521877,4014.81
13656,8542766,4014.84
13656,8563665,4014.84
13656,8584234,4014.84
13656,8605248,4014.86
13656,8625961,4014.86
13656,9378724,4014.78
13656,9399574,4014.78
13656,9420585,4014.84
13656,9441426,4014.84
13656,9462442,4015.05
13656,9483131,4015.05
13656,9503778,4015.05
13656,9524001,4014.81
13656,9543983,4014.81
13656,9563892,4014.87
13656,9584041,4014.87
13656,9604131,4014.89
13656,9624478,4014.89
13656,9644594,4014.89
13656,9664790,4014.81
13656,9685906,4014.81
13656,9706932,4014.88
13656,9727890,4014.88
13656,9748771,4014.81
13656,9769501,4014.81
13657,49250,4014.84
13657,69992,4014.84
13657,90595,4014.84
13657,111390,4014.84
13657,132175,4014.84
13657,153211,4014.81
13657,173792,4014.81
13657,194577,4014.84
13657,215515,4014.84
13657,236262,4014.84
13657,257401,4014.83
13657,278566,4014.83
13657,299605,4014.81
13657,320248,4014.81
13657,340984,4014.77
13657,361820,4014.77
13657,382436,4014.82
13657,383429,4014.82
13657,383783,4014.82
13657,384085,4014.53
13657,384311,4014.53
13657,384609,4014.53
13657,390204,4014.53
13657,409393,4014.53
13657,429345,4014.53
13657,449043,4014.72
13657,469277,4014.72
13657,489873,4014.72
13657,510229,4014.8
13657,530833,4014.8
13657,551738,4014.87
13657,572390,4014.87
13657,593180,4014.83
13657,613650,4014.83
13657,634269,4014.81
13657,655134,4014.81
13657,675883,4014.81
13657,696629,4014.84
13657,717475,4014.84
13657,737939,4014.81
13657,758924,4014.81
13657,780089,4014.83
13657,800932,4014.83
13657,805340,4014.83
13657,805667,4014.85
13657,806021,4014.85
13657,814249,4014.53
13657,833956,4014.53
13657,854017,4014.79
13657,874278,4014.79
13657,895010,4014.81
13657,915366,4014.81
13657,935942,4014.81
13657,956423,4014.76
13657,977066,4014.76
13657,997508,4014.87
13657,1017942,4014.87
13657,1038481,4014.82
13657,1059333,4014.82
13657,1080080,4014.85
13657,1101073,4014.85
13657,1121956,4014.85
13657,1142429,4014.81
13657,1163013,4014.81
13657,1183786,4014.81
13657,1204372,4014.81
13657,1225102,4014.8
13657,1245834,4014.8
13657,1266259,4014.86
13657,1286941,4014.86
13657,1307789,4014.86
13657,1328678,4014.88
13657,1349263,4014.88
13657,1370390,4014.83
13657,1391265,4014.83
13657,1412218,4014.77
13657,1433484,4014.77
13657,1454469,4014.81
13657,1475479,4014.81
13657,1496848,4014.81
13657,1517941,4014.84
13657,1538853,4014.84
13657,1560066,4014.81
13657,1581521,4014.81
13657,1603006,4014.81
13657,1624208,4014.81
13657,1645720,4014.81
13657,1667480,4014.85
13657,1688905,4014.85
13657,1710232,4014.85
13657,1730978,4014.85
13657,1751702,4014.86
13657,1772572,4014.86
13657,1793311,4014.82
13657,1814034,4014.82
13657,1834822,4014.82
13657,1855523,4014.79
13657,1876252,4014.79
13657,1897083,4014.85
13657,1917735,4014.85
13657,1938189,4014.8
13657,1958461,4014.8
13657,1979415,4014.77
13657,2000001,4014.77
13657,2020791,4014.77
13657,2041756,4014.83
13657,2062621,4014.83
13657,2083356,4014.84
13657,2104464,4014.84
13657,2125470,4014.87
13657,2145831,4014.87
13657,2166925,4014.87
13657,2187518,4014.78
13657,2208439,4014.78
13657,2229402,4014.8
13657,2250627,4014.8
13657,2271512,4014.83
13657,2292562,4014.83
13657,2313395,4014.84
13657,2334461,4014.84
13657,2355214,4014.84
13657,2376193,4014.84
13657,2397320,4014.84
13657,2418202,4014.8
13657,2438944,4014.8
13657,2460037,4014.81
13657,2481290,4014.81
13657,2502367,4014.85
13657,2523038,4014.85
13657,2543753,4014.85
13657,2564251,4014.89
13657,2584706,4014.89
13657,2605217,4014.82
13657,2625559,4014.82
13657,2646297,4014.83
13657,2666486,4014.83
13657,2687125,4014.83
13657,2707723,4014.8
13657,2728095,4014.8
13657,2748597,4014.77
13657,2769192,4014.77
13657,2789971,4014.84
13657,2810651,4014.84
13657,2831104,4014.86
13657,2851683,4014.86
13657,2871932,4014.86
13657,2892702,4014.76
13657,2913304,4014.76
13657,2933883,4014.86
13657,2954752,4014.86
13657,2975607,4014.84
13657,2996981,4014.84
13657,3018004,4014.84
13657,3039259,4014.81
13657,3060121,4014.81
13657,3081121,4014.81
13657,3102236,4014.81
13657,3123353,4014.74
13657,3144328,4014.74
13657,3165104,4014.81
13657,3186245,4014.81
13657,3207328,4014.81
13657,3228309,4014.86
13657,3249341,4014.86
13657,3270182,4014.81
13657,3291026,4014.81
13657,3312390,4014.87
